gene_IDs,DMSO,BPA
ENSG00000184900,8.31487628,8.432968122
ENSG00000197548,5.722799971,5.842525491
ENSG00000104957,10.65313578,10.85206392
ENSG00000245651,3.702332648,3.458019417
ENSG00000262898,6.263598085,5.681467847
ENSG00000134352,5.463675382,5.473408437
ENSG00000188681,10.69937163,10.64077794
ENSG00000234460,3.026810353,2.842125002
ENSG00000154274,7.322338039,7.343541031
ENSG00000165238,3.075243727,2.147190006
ENSG00000237914,5.68673225,5.206127868
ENSG00000188070,5.184894312,4.879688975
ENSG00000224843,6.117513732,6.016888617
ENSG00000125657,7.613391714,7.718522974
ENSG00000215241,6.495089585,2.889191634
ENSG00000135953,7.766945323,7.680920828
ENSG00000128438,4.245094512,3.577119626
ENSG00000227117,7.776429507,7.52207332
ENSG00000115641,5.837109093,5.973673677
ENSG00000102226,9.078767841,9.061514806
ENSG00000049656,10.1135612,10.20083471
ENSG00000152518,9.11588922,8.994633832
ENSG00000204604,6.965656767,7.07343073
ENSG00000142657,11.09165075,11.21398092
ENSG00000265091,3.108950832,2.855295901
ENSG00000088386,6.765736701,6.794050584
ENSG00000105939,9.948034734,9.959978695
ENSG00000131203,5.126324727,4.459850042
ENSG00000224122,3.872054454,3.640800384
ENSG00000125818,8.600576395,8.759555437
ENSG00000234093,12.69532531,12.70573173
ENSG00000248736,2.582345353,2.705629703
ENSG00000166436,6.149897879,6.338203957
ENSG00000257267,8.100815472,8.077002306
ENSG00000161011,12.54856707,12.667423
ENSG00000260274,6.540080793,6.542943396
ENSG00000260596,5.28857902,5.566301297
ENSG00000235437,3.608082486,3.829547095
ENSG00000119703,5.198871229,5.329853509
ENSG00000198919,4.217773075,4.233779095
ENSG00000162714,4.249141287,5.545058386
ENSG00000182327,7.85630206,7.911352694
ENSG00000224914,5.084266339,5.016802426
ENSG00000215915,2.677534713,4.435187661
ENSG00000149289,6.908229744,6.819389115
ENSG00000164219,4.213595337,4.032125341
ENSG00000181404,2.898575556,3.288602929
ENSG00000101323,11.4218644,11.26075798
ENSG00000258644,9.581011124,9.576246686
ENSG00000116251,11.47896168,11.42183823
ENSG00000138780,3.86271523,3.306658534
ENSG00000233237,3.638063861,3.758845122
ENSG00000110395,5.69985865,5.46472372
ENSG00000085871,10.80512677,10.76512358
ENSG00000273812,2.597195931,3.259343109
ENSG00000226040,7.577949417,7.572910323
ENSG00000261971,2.546759194,2.718816979
ENSG00000196843,5.17127142,5.264566706
ENSG00000103978,3.877399924,3.792980875
ENSG00000081189,7.94830196,7.811987774
ENSG00000124145,10.50883999,10.46467882
ENSG00000111445,8.358007966,8.317619597
ENSG00000117399,5.432578408,5.824899838
ENSG00000186104,10.13985941,10.16231229
ENSG00000127774,10.736277,10.69452583
